Event_ID,Category,Sub_Category,Event_Name,Venue,City,Date,Time,Duration_Minutes,Description
43,Theater,"Physical Satire, Folk-Fantasy, Absurd Comedy",Hemank Soni - Maaye ni meri akh lag gayi,"Platform GU, Gujarat University",Ahmedabad,16-11-2025,20:30,N/A,A physical satire and folk-fantasy absurd comedy
44,Music,Rajasthani Folk,JKM Band Folk - The Bhapang Project,"Platform ATIRA, ATIRA",Ahmedabad,16-11-2025,20:30,N/A,A Rajasthani folk music performance
45,Dance,Bharatnatyam & Kathak,Rutuja & Swarashri - Bol Sakhi,"Bajrang Maidan, Shreyas Foundation",Ahmedabad,16-11-2025,20:30,N/A,A Bharatnatyam and Kathak dance performance
46,Theater,"Puppetry, Musical, Non-fictional",Kalpesh Samel - 4 feet ka Sapna,"Upasana Amphitheatre, Gujarat University",Ahmedabad,18-11-2025,19:15,N/A,A non-fictional puppetry musical
47,Music,Light classical Fusion,Tarjani Hirani Collective by Unfold Entertainment,"Shyama Prasad Mukherjee Auditorium, Gujarat University",Ahmedabad,18-11-2025,19:15,N/A,A light classical fusion music performance
48,Dance,Folk,Tishya Khare & Jessiya George - Mook,"Manch GU, Gujarat University",Ahmedabad,18-11-2025,19:15,N/A,A folk dance performance
49,Music,Light Classical Fusion,Swarit Kelkar - Soor Taal Chakra,"Upasana Amphitheatre, Gujarat University",Ahmedabad,18-11-2025,21:30,N/A,A light classical fusion music performance
50,Dance,Contemporary Kathak,Shamik Chanda - The Rainbow Flower,"Shyama Prasad Mukherjee Auditorium, Gujarat University",Ahmedabad,18-11-2025,21:30,N/A,A contemporary Kathak dance
51,Music,Sufi Folk,Mohan Sagar - The Harmonium Band,"Manch GU, Gujarat University",Ahmedabad,18-11-2025,21:30,N/A,Sufi folk music by The Harmonium Band
52,Theater,Movement Theatre,Pravin Kannanur - Thresh/Hold,"Manch ATIRA, ATIRA",Ahmedabad,18-11-2025,19:15,N/A,A movement theatre performance
53,Theater,Movement Theatre,Pravin Kannanur - Thresh/Hold,"Manch ATIRA, ATIRA",Ahmedabad,18-11-2025,21:30,N/A,A movement theatre performance
54,Theater,"Experimental Theatre, Musical, Storytelling, Cultural Preservation",Hafeez Khan - Teekaram - The last folk star!,"Shreerangam, Shreyas Foundation",Ahmedabad,18-11-2025,19:15,N/A,An experimental musical storytelling theatre piece
55,Dance,Hip Hop & Krump,Ritesh & Kunal - Bounce - The Genesis of Everything,"Bajrang Maidan, Shreyas Foundation",Ahmedabad,18-11-2025,19:15,N/A,A Hip Hop and Krump dance performance
56,Dance,Contemporary Kathak,Manasee Gado - Jaya Angi Mothepan Taya Yatana Kathin,"Shreerangam, Shreyas Foundation",Ahmedabad,18-11-2025,21:30,N/A,A contemporary Kathak dance
57,Music,Classical Fusion,Atri Kotal - Survana,"Bajrang Maidan, Shreyas Foundation",Ahmedabad,18-11-2025,21:30,N/A,A classical fusion music performance
58,Dance,Odissi,Junahi Rattan - Anga Raaga,"Platform GU, Gujarat University",Ahmedabad,18-11-2025,20:30,N/A,An Odissi dance performance
59,Music,DJ Dhol,Siddharth Bhayani - Beatroot,"Platform ATIRA, ATIRA",Ahmedabad,18-11-2025,20:30,N/A,A DJ Dhol music performance
60,Theater,"Physical Theatre, Experimental, Movement Based",Runal Kolkankar - Unwritten,"Bajrang Maidan, Shreyas Foundation",Ahmedabad,18-11-2025,20:30,N/A,A physical experimental and movement based theatre piece
61,Theater,Sci-fi Play,Akshay Dave - Rasānt,"Upasana Amphitheatre, Gujarat University",Ahmedabad,19-11-2025,19:15,N/A,A sci-fi play theatre performance
62,Dance,Contemporary Kathak,Shamik Chanda - The Rainbow Flower,"Shyama Prasad Mukherjee Auditorium, Gujarat University",Ahmedabad,19-11-2025,19:15,N/A,A contemporary Kathak dance
63,Music,Light Music,Pratidhwani Choir - Choral Kavita,"Manch GU, Gujarat University",Ahmedabad,19-11-2025,19:15,N/A,A light music choir performance
64,Dance,Bharatnaytam & Kathak,Nilava & Nikita - Bichitra - A tale of a flower,"Upasana Amphitheatre, Gujarat University",Ahmedabad,19-11-2025,21:30,N/A,A Bharatnatyam and Kathak dance performance
65,Music,Light classical Fusion,Tarjani Hirani Collective by Unfold Entertainment,"Shyama Prasad Mukherjee Auditorium, Gujarat University",Ahmedabad,19-11-2025,21:30,N/A,A light classical fusion music performance
66,Theater,"Dark Humour, Social Satire, Digital Theatre & Psycho Drama",Dhrunad - Like Share & Subscribe!!,"Manch GU, Gujarat University",Ahmedabad,19-11-2025,21:30,N/A,A dark humour and social satire psycho drama
67,Theater,Movement Theatre,Pravin Kannanur - Thresh/Hold,"Manch ATIRA, ATIRA",Ahmedabad,19-11-2025,19:15,N/A,A movement theatre performance
68,Dance,Contemporary Kathak,Ameera Patankar - Q!-urban-l?,"Manch ATIRA, ATIRA",Ahmedabad,19-11-2025,21:30,N/A,A contemporary Kathak dance
69,Theater,"Musical, Physical, Comic, Romantic",Vaishakh Rathodd - Aa To Prem No Jadoo Chhe,"Shreerangam, Shreyas Foundation",Ahmedabad,19-11-2025,19:15,N/A,A musical physical comic and romantic theatre piece
70,Dance,Bharatnatyam with Visual mapping,Swati Athmanathan - Varan-Asi – Varnan,"Bajrang Maidan, Shreyas Foundation",Ahmedabad,19-11-2025,19:15,N/A,A Bharatnatyam with visual mapping dance performance
71,Dance,Contemporary Kathak,Manasee Gado -Jaya Angi Mothepan Taya Yatana Kathin,"Shreerangam, Shreyas Foundation",Ahmedabad,19-11-2025,21:30,N/A,A contemporary Kathak dance
72,Music,Classical Fusion,Atri Kotal - Survana,"Bajrang Maidan, Shreyas Foundation",Ahmedabad,19-11-2025,21:30,N/A,A classical fusion music performance
73,Dance,Bharatnatyam & Kathak,Rutuja & Swarashri - Bol Sakhi,"Platform GU, Gujarat University",Ahmedabad,19-11-2025,20:30,N/A,A Bharatnatyam and Kathak dance performance
74,Theater,"Physical Theatre, Experimental, Movement Based",Runal Kolkankar - Unwritten,"Platform ATIRA, ATIRA",Ahmedabad,19-11-2025,20:30,N/A,A physical experimental and movement based theatre piece
75,Music,Rajasthani Folk,JKM Band Folk - The Bhapang Project,"Bajrang Maidan, Shreyas Foundation",Ahmedabad,19-11-2025,20:30,N/A,A Rajasthani folk music performance
76,Theater,Traditional Theatre,Sooraj Nambiar - Cilappathikaram,"Upasana Amphitheatre, Gujarat University",Ahmedabad,20-11-2025,19:15,N/A,A traditional theatre performance
77,Theater,Physical Theatre,Hardik Shah - Samsara,"Shyama Prasad Mukherjee Auditorium, Gujarat University",Ahmedabad,20-11-2025,19:15,N/A,A physical theatre performance
78,Dance,Folk,Tishya Khare & Jessiya George - Mook,"Manch GU, Gujarat University",Ahmedabad,20-11-2025,19:15,N/A,A folk dance performance
79,Dance,Bharatnaytam & Kathak,Nilava & Nikita - Bichitra - A tale of a flower,"Upasana Amphitheatre, Gujarat University",Ahmedabad,20-11-2025,21:30,N/A,A Bharatnatyam and Kathak dance performance
80,Music,Light Music,Pratidhwani Choir - Choral Kavita,"Shyama Prasad Mukherjee Auditorium, Gujarat University",Ahmedabad,20-11-2025,21:30,N/A,A light music choir performance
81,Dance,Bharatnatyam,Divya Nayar - Pinnal - Tales of a sisterhood,"Manch GU, Gujarat University",Ahmedabad,20-11-2025,21:30,N/A,A Bharatnatyam dance performance
82,Music,Street Theatre,INGA - Therukoothu,"Manch ATIRA, ATIRA",Ahmedabad,20-11-2025,19:15,N/A,A street theatre music performance
83,Theater,Drama,Dhrumit Chauhan - Shakespeare Maharo Jamai,"Manch ATIRA, ATIRA",Ahmedabad,20-11-2025,21:30,N/A,A drama theatre performance
84,Dance,Contemporary Kathak,Manasee Gado - Jaya Angi Mothepan Taya Yatana Kathin,"Shreerangam, Shreyas Foundation",Ahmedabad,20-11-2025,19:15,N/A,A contemporary Kathak dance
85,Theater,Drama + Dance,Aalap Tripathi - Life of Lalu,"Bajrang Maidan, Shreyas Foundation",Ahmedabad,20-11-2025,19:15,N/A,A performance combining drama and dance
86,Dance,Contemporary,Aric & Shifu - Maya,"Shreerangam, Shreyas Foundation",Ahmedabad,20-11-2025,21:30,N/A,A contemporary dance performance
87,Dance,Bharatnatyam with Visual mapping,Swati Athmanathan - Varan-Asi – Varnan,"Bajrang Maidan, Shreyas Foundation",Ahmedabad,20-11-2025,21:30,N/A,A Bharatnatyam with visual mapping dance performance
88,Theater,"Physical Theatre, Experimental, Movement Based",Runal Kolkankar - Unwritten,"Platform GU, Gujarat University",Ahmedabad,20-11-2025,20:30,N/A,A physical experimental and movement based theatre piece
89,Music,Tamil Folk,Thara Local Pasanga - War Mode,"Platform ATIRA, ATIRA",Ahmedabad,20-11-2025,20:30,N/A,A Tamil folk music performance
90,Dance,Bharatnatyam & Kathak,Rutuja & Swarashri - Bol Sakhi,"Bajrang Maidan, Shreyas Foundation",Ahmedabad,20-11-2025,20:30,N/A,A Bharatnatyam and Kathak dance performance
91,Theater,Traditional Theatre,Sooraj Nambiar - Cilappathikaram,"Upasana Amphitheatre, Gujarat University",Ahmedabad,21-11-2025,19:15,N/A,A traditional theatre performance
92,Music,Indian Classical,Dr Atindra Sarvadikar - Raag Mudra,"Shyama Prasad Mukherjee Auditorium, Gujarat University",Ahmedabad,21-11-2025,19:15,N/A,An Indian classical music performance
93,Dance,Folk,Tishya Khare & Jessiya George - Mook,"Manch GU, Gujarat University",Ahmedabad,21-11-2025,19:15,N/A,A folk dance performance
94,Dance,Bharatnaytam & Kathak,Nilava & Nikita - Bichitra - A tale of a flower,"Upasana Amphitheatre, Gujarat University",Ahmedabad,21-11-2025,21:30,N/A,A Bharatnatyam and Kathak dance performance
95,Theater,Physical Theatre,Hardik Shah - Samsara,"Shyama Prasad Mukherjee Auditorium, Gujarat University",Ahmedabad,21-11-2025,21:30,N/A,A physical theatre performance
96,Music,Rajasthani Folk,Anavar Khan - Kanudo,"Manch GU, Gujarat University",Ahmedabad,21-11-2025,21:30,N/A,A Rajasthani folk music performance
97,Dance,Bharatnatyam,Tanya Saxena - Prayer Circle,"Manch ATIRA, ATIRA",Ahmedabad,21-11-2025,19:15,N/A,A Bharatnatyam dance performance
98,Music,Pop Rock,SameerBenny Collectives - Ik Aadat Si,"Manch ATIRA, ATIRA",Ahmedabad,21-11-2025,21:30,N/A,A pop rock music performance
99,Theater,Children's Play,Fletcher Aur Zenobia - Gillo Repertory Theatre,"Banyan Tree, Shreyas Foundation",Ahmedabad,21-11-2025,17:00,N/A,A children's play
100,Music,Percussion,Hiren Chate - Circle of Naad,"Shreerangam, Shreyas Foundation",Ahmedabad,21-11-2025,19:15,N/A,A percussion music performance
101,Dance,Bharatnatyam with Visual mapping,Swati Athmanathan - Varan-Asi – Varnan,"Bajrang Maidan, Shreyas Foundation",Ahmedabad,21-11-2025,19:15,N/A,A Bharatnatyam with visual mapping dance performance
102,Dance,Contemporary,Aric & Shifu - Maya,"Shreerangam, Shreyas Foundation",Ahmedabad,21-11-2025,21:30,N/A,A contemporary dance performance
103,Music,Ghazal,Suhaavi Kalsi - Women of Ghazal,"Bajrang Maidan, Shreyas Foundation",Ahmedabad,21-11-2025,21:30,N/A,A Ghazal music performance
104,Music,Maharashtrian Folk,Vishwa Lokkala Manch Lokkala Darshan,"Platform GU, Gujarat University",Ahmedabad,21-11-2025,20:30,N/A,A Maharashtrian folk music performance
105,Dance,Bharatnatyam,Anuja Madhekar - ManahChakshu: Seeing Beyond What is Seen,"Platform ATIRA, ATIRA",Ahmedabad,21-11-2025,20:30,N/A,A Bharatnatyam dance performance
106,Music,BeatBox,Shrey Kapadia - The Beatbox Crew,"Bajrang Maidan, Shreyas Foundation",Ahmedabad,21-11-2025,20:30,N/A,A beatbox music performance
107,Theater,Traditional Theatre,Sooraj Nambiar - Cilappathikaram,"Upasana Amphitheatre, Gujarat University",Ahmedabad,22-11-2025,19:15,N/A,A traditional theatre performance
108,Music,Light Music,Pratidhwani Choir - Choral Kavita,"Shyama Prasad Mukherjee Auditorium, Gujarat University",Ahmedabad,22-11-2025,19:15,N/A,A light music choir performance
109,Dance,Bharatnatyam,Divya Nayar - Pinnal - Tales of a sisterhood,"Manch GU, Gujarat University",Ahmedabad,22-11-2025,19:15,N/A,A Bharatnatyam dance performance
110,Music,Sufi Fusion,Munaf Luhar -The Bulleshah Project,"Upasana Amphitheatre, Gujarat University",Ahmedabad,22-11-2025,21:30,N/A,A sufi fusion music project
111,Theater,Physical Theatre,Hardik Shah - Samsara,"Shyama Prasad Mukherjee Auditorium, Gujarat University",Ahmedabad,22-11-2025,21:30,N/A,A physical theatre performance
112,Music,Rajasthani Folk,Anavar Khan - Kanudo,"Manch GU, Gujarat University",Ahmedabad,22-11-2025,21:30,N/A,A Rajasthani folk music performance
113,Music,Pop Rock,SameerBenny Collectives - Ik Aadat Si,"Manch ATIRA, ATIRA",Ahmedabad,22-11-2025,19:15,N/A,A pop rock music performance
114,Dance,Bharatnatyam,Tanya Saxena - Prayer Circle,"Manch ATIRA, ATIRA",Ahmedabad,22-11-2025,21:30,N/A,A Bharatnatyam dance performance
115,Theater,Children's Play,Fletcher Aur Zenobia - Gillo Repertory Theatre,"Banyan Tree, Shreyas Foundation",Ahmedabad,22-11-2025,17:00,N/A,A children's play
116,Dance,Contemporary,Aric & Shifu - Maya,"Shreerangam, Shreyas Foundation",Ahmedabad,22-11-2025,19:15,N/A,A contemporary dance performance
117,Theater,Satirical Absurdist Drama with Elements of Dark Comedy and Social Realism,Gaurang Raval - M.E,"Bajrang Maidan, Shreyas Foundation",Ahmedabad,22-11-2025,19:15,N/A,A satirical absurdist drama with dark comedy and social realism
118,Music,Percussion,Hiren Chate - Circle of Naad,"Shreerangam, Shreyas Foundation",Ahmedabad,22-11-2025,21:30,N/A,A percussion music performance
119,Dance,Contemporary with elements of Jazz,Rayan Bhambhani - The Mole,"Bajrang Maidan, Shreyas Foundation",Ahmedabad,22-11-2025,21:30,N/A,Contemporary dance with elements of Jazz
120,Music,Maharashtrian Folk,Vishwa Lokkala Manch - Lokkala Darshan,"Platform GU, Gujarat University",Ahmedabad,22-11-2025,20:30,N/A,A Maharashtrian folk music performance
121,Music,Tamil Folk,Thara Local Pasanga - War Mode,"Platform ATIRA, ATIRA",Ahmedabad,22-11-2025,20:30,N/A,A Tamil folk music performance
122,Dance,Bharatnatyam,Anuja Madhekar - ManahChakshu: Seeing Beyond What is Seen,"Bajrang Maidan, Shreyas Foundation",Ahmedabad,22-11-2025,20:30,N/A,A Bharatnatyam dance performance
123,Theater,Sci-fi Play,Akshay Dave - Rasānt,"Upasana Amphitheatre, Gujarat University",Ahmedabad,23-11-2025,19:15,N/A,A sci-fi play theatre performance
124,Music,Indian Classical,Dr Atindra Sarvadikar - Raag Mudra,"Shyama Prasad Mukherjee Auditorium, Gujarat University",Ahmedabad,23-11-2025,19:15,N/A,An Indian classical music performance
125,Dance,Hip Hop & Krump,Ritesh & Kunal - Bounce - The Genesis of Everything,"Manch GU, Gujarat University",Ahmedabad,23-11-2025,19:15,N/A,A Hip Hop and Krump dance performance
126,Music,Rajasthani Folk,Firoz Khan - The Kartaal Project,"Upasana Amphitheatre, Gujarat University",Ahmedabad,23-11-2025,21:30,N/A,A Rajasthani folk music performance
127,Theater,Drama,Sharanya Deyy - My Imaginary Homeland,"Shyama Prasad Mukherjee Auditorium, Gujarat University",Ahmedabad,23-11-2025,21:30,N/A,A drama theatre performance
128,Dance,Bharatnatyam,Divya Nayar - Pinnal - Tales of a sisterhood,"Manch GU, Gujarat University",Ahmedabad,23-11-2025,21:30,N/A,A Bharatnatyam dance performance
129,Theater,"Drama, Satire, Magical Realism",Aagaz Theatre - Goonj ka Ghar,"Manch ATIRA, ATIRA",Ahmedabad,23-11-2025,19:15,N/A,A drama satire and magical realism theatre piece
130,Music,Pop Rock,SameerBenny Collectives - Ik Aadat Si,"Manch ATIRA, ATIRA",Ahmedabad,23-11-2025,21:30,N/A,A pop rock music performance
131,Theater,Children's Play,Fletcher Aur Zenobia - Gillo Repertory Theatre,"Banyan Tree, Shreyas Foundation",Ahmedabad,23-11-2025,17:00,N/A,A children's play
132,Theater,"Musical, Physical, Comic, Romantic",Vaishakh Rathodd - Aa To Prem No Jadoo Chhe,"Shreerangam, Shreyas Foundation",Ahmedabad,23-11-2025,19:15,N/A,A musical physical comic and romantic theatre piece
133,Music,Indian Classical,Pranshu and Shounok - Brahmand,"Bajrang Maidan, Shreyas Foundation",Ahmedabad,23-11-2025,19:15,N/A,An Indian classical music performance
134,Music,Percussion,Hiren Chate - Circle of Naad,"Shreerangam, Shreyas Foundation",Ahmedabad,23-11-2025,21:30,N/A,A percussion music performance
135,Music,Ghazal,Suhaavi Kalsi - Women of Ghazal,"Bajrang Maidan, Shreyas Foundation",Ahmedabad,23-11-2025,21:30,N/A,A Ghazal music performance
136,Music,Tamil Folk,Thara Local Pasanga - War Mode,"Platform GU, Gujarat University",Ahmedabad,23-11-2025,20:30,N/A,A Tamil folk music performance
137,Music,BeatBox,Shrey Kapadia - The Beatbox Crew,"Platform ATIRA, ATIRA",Ahmedabad,23-11-2025,20:30,N/A,A beatbox music performance
138,Dance,Bharatnatyam,Anuja Madhekar - ManahChakshu: Seeing Beyond What is Seen,"Bajrang Maidan, Shreyas Foundation",Ahmedabad,23-11-2025,20:30,N/A,A Bharatnatyam dance performance
139,Music,Rajasthani Folk,Firoz Khan - The Kartaal Project,"Upasana Amphitheatre, Gujarat University",Ahmedabad,25-11-2025,19:15,N/A,A Rajasthani folk music performance
140,Dance,Kuchipudi,Rashmi & Vidya- Yadā: Saraswathi and Lakshmi laughed together!,"Shyama Prasad Mukherjee Auditorium, Gujarat University",Ahmedabad,25-11-2025,19:15,N/A,A Kuchipudi dance performance
141,Music,Indian Classical,Pranshu and Shounok - Brahmand,"Manch GU, Gujarat University",Ahmedabad,25-11-2025,19:15,N/A,An Indian classical music performance
142,Music,Gujarati Folk,Kartik Dodiya - Rang Meghani,"Upasana Amphitheatre, Gujarat University",Ahmedabad,25-11-2025,21:30,N/A,A Gujarati folk music performance
143,Theater,Drama,Sharanya Deyy - My Imaginary Homeland,"Shyama Prasad Mukherjee Auditorium, Gujarat University",Ahmedabad,25-11-2025,21:30,N/A,A drama theatre performance
144,Music,Rajasthani Folk,Anavar Khan - Kanudo,"Manch GU, Gujarat University",Ahmedabad,25-11-2025,21:30,N/A,A Rajasthani folk music performance
145,Theater,"Drama, Satire, Magical Realism",Aagaz Theatre - Goonj ka Ghar,"Manch ATIRA, ATIRA",Ahmedabad,25-11-2025,19:15,N/A,A drama satire and magical realism theatre piece
146,Dance,Bharatnatyam,Tanya Saxena - Prayer Circle,"Manch ATIRA, ATIRA",Ahmedabad,25-11-2025,21:30,N/A,A Bharatnatyam dance performance
147,Dance,Free style & Contemporary,Sarthak Dubey - Left Hand of God,"Shreerangam, Shreyas Foundation",Ahmedabad,25-11-2025,19:15,N/A,A free style and contemporary dance performance
148,Theater,Satirical Absurdist Drama with Elements of Dark Comedy and Social Realism,Gaurang Raval - M.E,"Bajrang Maidan, Shreyas Foundation",Ahmedabad,25-11-2025,19:15,N/A,A satirical absurdist drama with dark comedy and social realism
149,Music,Hip Hop,Krantinaari - Sound of Women | Kumaoni Edition,"Shreerangam, Shreyas Foundation",Ahmedabad,25-11-2025,21:30,N/A,A Hip Hop music performance
150,Dance,Pure Bharatnatyam,Pavitra Bhat - Shiva Tattva,"Bajrang Maidan, Shreyas Foundation",Ahmedabad,25-11-2025,21:30,N/A,A pure Bharatnatyam dance performance
151,Music,BeatBox,Shrey Kapadia - The Beatbox Crew,"Platform GU, Gujarat University",Ahmedabad,25-11-2025,20:30,N/A,A beatbox music performance
152,Theater,Physical Theatre,Jalam Theatre Company- Last Laugh In No Man's Land,"Platform ATIRA, ATIRA",Ahmedabad,25-11-2025,20:30,N/A,A physical theatre performance
153,Music,Maharashtrian Folk,Vishwa Lokkala Manch - Lokkala Darshan,"Bajrang Maidan, Shreyas Foundation",Ahmedabad,25-11-2025,20:30,N/A,A Maharashtrian folk music performance
154,Dance,Contemporary,Ritu Changlani - The Blue Hour,"Upasana Amphitheatre, Gujarat University",Ahmedabad,26-11-2025,19:15,N/A,A contemporary dance performance
